# Bad IDs, reason
C04410, invalid
C04412, invalid
C04413, invalid
C04414, invalid
C04427, invalid
C04430, invalid
C04436, invalid
C04439, invalid
C04440, invalid
C04449, invalid
C04450, invalid
C04451, invalid
C04455, invalid
C04456, invalid
C04460, invalid
C04463, invalid
C04464, invalid
C04467, invalid
C04470, invalid
C04472, invalid
C04474, invalid
C04481, invalid
C04490, invalid
C04492, invalid
C04493, invalid
C04495, invalid
C04496, invalid
C04497, invalid
C04499, invalid
C04513, invalid
C04519, invalid
C04523, invalid
C04528, invalid
C04531, invalid
C04532, invalid
C04533, invalid
C04538, invalid
C04550, invalid
C04551, invalid
C04557, invalid
C04560, invalid
C04567, invalid
C04568, invalid
C04569, invalid
